"Business File Number","License Type","Entity Name","Trade Name","Current License Status","Expiration Date","Facility Street Number","Facility Pre-Direction","Facility Street Name","Facility Street Type","Facility Unit Number","Facility City","Facility Zip Code"
"2016-BFN-0007402","Retail Marijuana Store","YUMA WAY, LLC","1136 YUMA","License Issued - Active","11/6/2019 12:00:00 AM","1136","N","YUMA","CT","","DENVER","80204"
"2018-BFN-0000285","Retail Marij Opt. Prem. Cultiv","LEVELS IV INC","LEVELS IV INC","License Issued - Active","6/22/2020 12:00:00 AM","4015","N","Elati","St","","Denver","80216"
"2018-BFN-0000461","Retail Marijuana Store","LYONS FINEST CONFIDENTIAL CARE LLC","TUMBLEWEED","License Issued - Active","6/24/2020 12:00:00 AM","11080","E","47th","Ave","","Denver","80239"
"2014-BFN-0004431","Med Marijuana Opt Prem Cultiv","EC LABS, LLC","ENDOCANNA","License Issued - Active","2/27/2020 12:00:00 AM","4300","N","FOREST","ST","150","DENVER","80216"
"2014-BFN-0004811","Retail Marijuana Store","TWOG-YORK, LLC","BUDDY BOY","License Issued - Active","5/15/2020 12:00:00 AM","5050","N","YORK","ST","","DENVER","80216"
"2013-BFN-1065013","Med Marijuana Opt Prem Cultiv","TWOG-YORK, LLC","BUDDY BOY","License Issued - Active","6/12/2020 12:00:00 AM","4501","","WYNKOOP","ST","101","DENVER","80216"
"2013-BFN-1066526","Med Marijuana Inf Prod Manuf","CLIINTEL CAPITAL GROUP, LLC","CLEAR COLORADO GROUP","License Issued - Active","2/24/2020 12:00:00 AM","5156","N","CLARKSON","ST","2 Unit A","DENVER","80216"
"2013-BFN-1066097","Med Marijuana Inf Prod Manuf","CC FOODS, LLC","","License Issued - Active","12/16/2019 12:00:00 AM","4502","N","Washington","","","Denver",""
"2013-BFN-1069615","Retail Marijuana Store","E2T2 LLC","DIEGO PELLICER","License Issued - Active","5/19/2020 12:00:00 AM","2057","S","BROADWAY","","","DENVER","80210"
"2013-BFN-1069055","Retail Marijuana Store","ALTERNATIVE MEDICINE ON THE MALL, LLC","NATIVE ROOTS SPEER","License Issued - Active","2/18/2020 12:00:00 AM","910","","16TH","ST","805","DENVER","80202"
"2015-BFN-0008354","Med Marijuana Opt Prem Cultiv","RIA HOLDINGS LIMITED","LAUGHING GRASS","License Issued - Active","8/4/2019 12:00:00 AM","1235","N","Umatilla","","","Denver","80204"
"2016-BFN-0004809","Retail Marijuana Store","SMOKED COLORADO, INC.","MIGHTY TREE","License Issued - Active","11/23/2019 12:00:00 AM","2268","S","DELAWARE","ST","","DENVER","80223"
"2015-BFN-0002256","Medical Marijuana Center","JPJR AND ASSOCIATES, LLC","STASH HOUSE","License Issued - Active","10/19/2019 12:00:00 AM","4707","N","LIPAN","ST","","DENVER","80211"
"2012-BFN-1060800","Med Marijuana Opt Prem Cultiv","LEVELS IV INC","LEVELS IV INC","License Issued - Active","1/6/2020 12:00:00 AM","4905","E","41ST","AVE","","DENVER","80216"
"2012-BFN-1060835","Med Marijuana Opt Prem Cultiv","DENCO, LLC","","License Issued - Active","3/22/2020 12:00:00 AM","5155","E","46TH","AVE","","DENVER","80216"
"2013-BFN-1065216","Med Marijuana Inf Prod Manuf","ALLIED CONCESSIONS GROUP, INC.","ORGANALABS","License Issued - Active","9/27/2019 12:00:00 AM","2121","S","JASON","ST","","DENVER","80223"
"2014-BFN-0002255","Retail Marijuana Inf Prod Mfg","CLIINTEL CAPITAL GROUP, LLC","CLEAR COLORADO GROUP","License Issued - Active","12/22/2019 12:00:00 AM","5156","N","CLARKSON","ST","2 UNIT A","DENVER","80216"
"2017-BFN-0001542","Retail Marijuana Inf Prod Mfg","COLORADO MOONROCKS LLC","","License Issued - Active","8/29/2019 12:00:00 AM","5095","N","Colorado","","","Denver","80216"
"2017-BFN-0000229","Retail Marij Opt. Prem. Cultiv","GREEN SATIVA LLC","","License Issued - Active","1/5/2020 12:00:00 AM","3990","N","GRAPE","ST","","DENVER","80207"
"2018-BFN-0007446","Retail Marijuana Store","RINO SUPPLY CO INC","","License Issued - Active","4/8/2020 12:00:00 AM","3100","","Blake","St","","Denver","80205"
"2010-BFN-1045700","Medical Marijuana Center","BEYOND BROADWAY LLC","LIVWELL","License Issued - Active","2/23/2020 12:00:00 AM","432","S","BROADWAY","","","DENVER","80209"
"2010-BFN-1048389","Medical Marijuana Center","GAS AND GRASS, LLC","ROLLUP","License Issued - Active","1/4/2020 12:00:00 AM","4500","N","WASHINGTON","ST","B","DENVER","80216"
"2010-BFN-1045789","Medical Marijuana Center","LITTLE GREEN PHARMACY, INC","","License Issued - Active","2/24/2020 12:00:00 AM","1331","S","BROADWAY","","","DENVER","80210"
"2013-BFN-1070062","Retail Marijuana Store","WANNA LLC","NORTHERN LIGHTS CANNABIS CO","License Issued - Active","3/13/2020 12:00:00 AM","183","W","ALAMEDA","AVE","","DENVER","80223"
"2013-BFN-1069906","Retail Marij Opt. Prem. Cultiv","CO-AGRONOMICS LLC","THE GREEN DEPOT","License Issued - Active","4/6/2020 12:00:00 AM","4414","N","VINE","ST","","DENVER","80216"
"2012-BFN-1060771","Med Marijuana Opt Prem Cultiv","SWEETWATER PARTNERS LLC","THE PREZ","License Issued - Active","8/15/2019 12:00:00 AM","4240","N","KEARNEY","ST","","DENVER","80216"
"2013-BFN-1068512","Medical Marijuana Center","RJJ SHERIDAN, LLC","NATIVE ROOTS LITTLETON","License Issued - Active","10/3/2019 12:00:00 AM","7870","W","QUINCY","AVE","","DENVER","80123"
"2013-BFN-1068454","Med Marijuana Opt Prem Cultiv","JULIE CAMILLE LLC","SWEET GRASS KITCHEN","License Issued - Active","10/1/2019 12:00:00 AM","1135","S","JASON","ST","","DENVER","80223"
